question_id,chunk_ids,latency_ms,error
w3-014,"[""ll_d28da59cc8971d0b1dabe492062dab99"", ""ll_0d5fe343fb5f1ed03285e229857262fd"", ""ll_1be18ce3acf6fc6c6f2d3b3e3fbc0b60"", ""ll_c525f72b3357073ec36c2e426e963958"", ""ll_573d003e9ff3432a71ad27f4033a0237"", ""ll_f4337d4b25d60f0c84c77d480d8749ef"", ""ll_b37087af9b92b0cf5433d724a2f5a20a"", ""ll_816f419396a59cbafdb721a5aefd60d6"", ""ll_734c02a52d8ded4e9df460a8c3b80ebb"", ""ll_85c91f8360c6b8d3fefcc386cfb13eb5""]",234.35519999475218,
w3-015,"[""ll_a40ba37473b834faa4c7c0a23269c4d7"", ""ll_f30cf82b302038bb1db908017c05cde0"", ""ll_3cac0cb74ba9fad3c0fe594a34d57dd6"", ""ll_77d8d70bac7513716ab2260421929fd3"", ""ll_9744183a268a049c6c450938d5e9cb35"", ""ll_03d8173fe86340d2caef56f7b4b9c6a1"", ""ll_99b2729bba06f3817dff681beed85d95"", ""ll_e44d742605ac67df15500fdcd912238d"", ""ll_0fa94813b6249408fee46bbbe9ab376b"", ""ll_c525f72b3357073ec36c2e426e963958""]",237.19479999272153,
w3-016,"[""ll_795d914c6a1937245fdbf4302d1a40bb"", ""ll_1132410e9dd1c1f92ace3aaf76ae6278"", ""ll_fd2366c7c8b65d757e2a99148c8a9dd7"", ""ll_7f17a5afeb93f281201906efb555a592"", ""ll_d2da766a170e7465ce7c971eb052a7c9"", ""ll_830b499436750f541066bff4650fc670"", ""ll_145723c30f8e4dbf35c09e09ea6f14f9"", ""ll_6da0c795d969eea71e10ec21ae716501"", ""ll_d08e65e2c2ab7756cc8e661130ea23ac"", ""ll_583ad6cd6ad14839eeb30718780ab860""]",225.03210000286344,
w3-017,"[""ll_d2da766a170e7465ce7c971eb052a7c9"", ""ll_cedd142f777eb236d4366e283908b21d"", ""ll_583ad6cd6ad14839eeb30718780ab860"", ""ll_24e904d466bdcf271fa00a047e279d16"", ""ll_64eb266fcae24ab204722e93a5b03817"", ""ll_75a521ae78591940274490089c092847"", ""ll_5f611e2223dfc4ac712eda13ef3d7181"", ""ll_1132410e9dd1c1f92ace3aaf76ae6278"", ""ll_501c32a89451e9cfa1229c12b646a0d7"", ""ll_a3a2492f3412134d86be921a05bb3496""]",229.40019999805372,
w3-018,"[""ll_583ad6cd6ad14839eeb30718780ab860"", ""ll_24e904d466bdcf271fa00a047e279d16"", ""ll_d2da766a170e7465ce7c971eb052a7c9"", ""ll_5f611e2223dfc4ac712eda13ef3d7181"", ""ll_64eb266fcae24ab204722e93a5b03817"", ""ll_a3a2492f3412134d86be921a05bb3496"", ""ll_d46b468f7e75375226fc9255165252c0"", ""ll_eedbc850d166bd443903fafcf9aefb60"", ""ll_0d371e4557e9ce28b760f74fccd94c65"", ""ll_b87ad64571b88e5bf473b2405b1c7ecc""]",247.7863999956753,
w3-019,"[""ll_1ba69f2e439549c597a4c337d619c2c0"", ""ll_2d20a4a349fa3df96129fe7100534d79"", ""ll_583ad6cd6ad14839eeb30718780ab860"", ""ll_eedbc850d166bd443903fafcf9aefb60"", ""ll_781297f486eb509092e23b00b86d4ab5"", ""ll_14e5e9b429964ff8ddf325405eec26a0"", ""ll_0477cca2804dddeed05232c6ff93ba55"", ""ll_5f611e2223dfc4ac712eda13ef3d7181"", ""ll_a74fac767e6092d50ba143eabe420905"", ""ll_d2da766a170e7465ce7c971eb052a7c9""]",230.15819999272935,
w3-020,"[""ll_cf1f5140b529ec938a5e49a8db4c2b7a"", ""ll_ef77b75ca6d385b4f3d7a631da24ef4c"", ""ll_6af59ba448952c1c927978713d34d984"", ""ll_bcc0b9a6879d0bbc668663cb958c46f0"", ""ll_f08b8ccb0aa46b6ed0f3a55a1f31cdfc"", ""ll_610e9077fc973dabc980978eb3f3da54"", ""ll_d1fe1e9514d99c2339c904291cd5079f"", ""ll_87fb4cc08557a3e7c1aa8e852c8b306c"", ""ll_816f419396a59cbafdb721a5aefd60d6"", ""ll_92acaadc1fdc7772e994662ede4bd007""]",234.0451999916695,
w3-021,"[""ll_80f0625589879c420f9f60d9fd683bb0"", ""ll_ca629be421f6660602c52ae020cd36e2"", ""ll_d530383a2e60ae7f0f6045c13359a399"", ""ll_0c9af38a0dcfd4f18f3f1ea093a10fee"", ""ll_b57d5b2b11cb64ffe9fea638e794949e"", ""ll_8c134f8a0c7d4bb6ba4dfaf0b0df45a7"", ""ll_9cded2c10805950c52c9407f2808ecb4"", ""ll_afe256de188ea7a8b24936542cf3d63d"", ""ll_476abffd2a5f7176a65557089a19d471"", ""ll_e24e3ca364df8da0d948c672598d349e""]",238.56220000016037,
w3-022,"[""ll_96295a02c95dc2594060cedbd1d1f625"", ""ll_71db140bb4fb4b4961bed8e236f06397"", ""ll_bd0b1b93e52807175e2453a877372cd8"", ""ll_e24e3ca364df8da0d948c672598d349e"", ""ll_8c134f8a0c7d4bb6ba4dfaf0b0df45a7"", ""ll_0c9af38a0dcfd4f18f3f1ea093a10fee"", ""ll_afe256de188ea7a8b24936542cf3d63d"", ""ll_9cded2c10805950c52c9407f2808ecb4"", ""ll_b57d5b2b11cb64ffe9fea638e794949e"", ""ll_56d5c48954461b725e9c0ef5f7bbb1b4""]",271.07689999684226,
w3-023,"[""ll_dd62b9c52c0258a0740c5d20843aa79a"", ""ll_e1fb72fef7f449d3a8fc3c8dd445be4b"", ""ll_cd916f2e491e3045ff29fec1a9a29864"", ""ll_e06c6229dedd4660049c593fe6c49f20"", ""ll_5d90f5a24f026a714740764677666854"", ""ll_bc6ff24f8e0b7ac0461e92bb36b2fbfb"", ""ll_468de004e644e6311bee807a7ed7cf51"", ""ll_15a24f4e759d20f02d5f3a0f84cbc0f7"", ""ll_5743cc2c1f2b7e7e9014a99b142d7a2a"", ""ll_e6c15ff3e6fb0d0f03256e191aada476""]",233.50709999795072,
w3-024,"[""ll_6be826550ae476214c3f4cd1f1748e3f"", ""ll_4e703b02cc25afe3a2c4dd07be9a6c7a"", ""ll_1ac00d5d1e21f5a9c8a8cc427af73d75"", ""ll_cb340ec09c26a146c6ee5081b9551a7e"", ""ll_df307de2d5c0d3933ddf19e9b67b318c"", ""ll_e06c6229dedd4660049c593fe6c49f20"", ""ll_5d90f5a24f026a714740764677666854"", ""ll_3472f76567ef46ce3aa70e5cef04c465"", ""ll_fb79fe33fbce333143d40d2f7551b098"", ""ll_5bfc51a47d89ec3fd059a4cdcf95d00a""]",250.6345000001602,
w3-025,"[""ll_5bfc51a47d89ec3fd059a4cdcf95d00a"", ""ll_fb79fe33fbce333143d40d2f7551b098"", ""ll_4e703b02cc25afe3a2c4dd07be9a6c7a"", ""ll_df307de2d5c0d3933ddf19e9b67b318c"", ""ll_cb340ec09c26a146c6ee5081b9551a7e"", ""ll_6c240c97a10261a8b7b76c78917bf2ff"", ""ll_d8cacdd0206c78f1adf99e6239138790"", ""ll_e6c15ff3e6fb0d0f03256e191aada476"", ""ll_cf2160fc634635bd72d0f1a465e0ce88"", ""ll_50d4c8e309dd1e585215a83825c37247""]",227.70210000453517,
w3-026,"[""ll_d08e65e2c2ab7756cc8e661130ea23ac"", ""ll_1132410e9dd1c1f92ace3aaf76ae6278"", ""ll_795d914c6a1937245fdbf4302d1a40bb"", ""ll_7f17a5afeb93f281201906efb555a592"", ""ll_da9090701f48b41fd5164a7f1b14890d"", ""ll_6da0c795d969eea71e10ec21ae716501"", ""ll_0b24d87e13609f988d4569d03d8cca5f"", ""ll_f30cf82b302038bb1db908017c05cde0"", ""ll_0fe3e1a5a9da29225182e80fdb549c3a"", ""ll_69105407cfd6b6ae63b113564f2b49db""]",227.062299993122,
w3-027,"[""ll_75a521ae78591940274490089c092847"", ""ll_cedd142f777eb236d4366e283908b21d"", ""ll_d2da766a170e7465ce7c971eb052a7c9"", ""ll_91a9b871670bf585833bc7dcf579b896"", ""ll_333bbf047fcc038dc9a9fa7b41127241"", ""ll_501c32a89451e9cfa1229c12b646a0d7"", ""ll_64eb266fcae24ab204722e93a5b03817"", ""ll_24e904d466bdcf271fa00a047e279d16"", ""ll_0d371e4557e9ce28b760f74fccd94c65"", ""ll_a3a2492f3412134d86be921a05bb3496""]",224.8913000075845,
w3-028,"[""ll_8aa523f2ec83b99c21cfb05ecee57d11"", ""ll_2d20a4a349fa3df96129fe7100534d79"", ""ll_1ba69f2e439549c597a4c337d619c2c0"", ""ll_c4d85faa027f86a505395c8c28e31e54"", ""ll_91a9b871670bf585833bc7dcf579b896"", ""ll_583ad6cd6ad14839eeb30718780ab860"", ""ll_eedbc850d166bd443903fafcf9aefb60"", ""ll_0cf9fb199154a4f067a172c925264352"", ""ll_501c32a89451e9cfa1229c12b646a0d7"", ""ll_781297f486eb509092e23b00b86d4ab5""]",236.42390000168234,
w3-029,"[""ll_428be34da6736faeaa617b0ff275a167"", ""ll_b800cbedb476507c5844b1005819d210"", ""ll_42f1b2e2f727bd7fa25ae281c0872e22"", ""ll_7147b1eaf50462f3d0a908a0bd9beca9"", ""ll_1905a7a96c46093b9809d46d5fd3d7a5"", ""ll_0fe96aa726e9e79917f6ab20bfde2d27"", ""ll_274f56f5c98a17d43de0ebee26627e50"", ""ll_c141bd1d626639246c5dbc60bcb42f8b"", ""ll_627855a5ec07e3899df79d8a5cfa5c7b"", ""ll_8b5680ead3da6c33829079a5e9fb4634""]",234.76310000114609,
w3-030,"[""ll_a1694a7125d81bb2ded8f06acadd25d1"", ""ll_1632d909c4082c1e74487a2e53534a7d"", ""ll_7aaf6fe36b2ddc492394b8fcc2e678d9"", ""ll_70f2ce66c2e0fc2d2c816f809bd578ac"", ""ll_00286790cf841d32eeb3dc1ec910ddae"", ""ll_143515211f7f3949cafd5721b2080532"", ""ll_5932ed56e6e6b003912aa82a39b8280b"", ""ll_6e07381a2741394615aa9cec18358a3c"", ""ll_cb9f681a01a8577a7039ae93e6dee5a5"", ""ll_19ee4713c3854b369706dca78f70684b""]",235.91760000272188,
w3-036,"[""ll_7f17a5afeb93f281201906efb555a592"", ""ll_6da0c795d969eea71e10ec21ae716501"", ""ll_c525f72b3357073ec36c2e426e963958"", ""ll_8f84e82066f828fd6ba4f6aee47b103b"", ""ll_1132410e9dd1c1f92ace3aaf76ae6278"", ""ll_69105407cfd6b6ae63b113564f2b49db"", ""ll_573d003e9ff3432a71ad27f4033a0237"", ""ll_145723c30f8e4dbf35c09e09ea6f14f9"", ""ll_0b24d87e13609f988d4569d03d8cca5f"", ""ll_c85e69ac05c9e3d8b5cbbee90865d2ad""]",221.03250000509433,
w3-039,"[""ll_890db25ee9854dcdf4eaca66c3b2880d"", ""ll_b89c1d53396256a4d945a0dbee6c1b4b"", ""ll_0c9af38a0dcfd4f18f3f1ea093a10fee"", ""ll_87fb4cc08557a3e7c1aa8e852c8b306c"", ""ll_d29d4e0b85a9e836d6b8a4d812205781"", ""ll_39892c057c7219f70393aea669dde91a"", ""ll_3496d03c125f3647e4b59d17ba1517aa"", ""ll_faa9a425bad6bbb962c7ab81f0be89b5"", ""ll_813322864fda8e33463a84df154d530e"", ""ll_2f67e4448713dcd65f7f57c092bfa1ff""]",211.34360000723973,
