block_index	block_type	style	alignment	text
18	paragraph	Normal	JUSTIFY (3)	Điều 2. Đối tượng áp dụng
19	paragraph	Normal	JUSTIFY (3)	1. Người lao động, người học nghề, người tập nghề và người làm việc không có quan hệ lao động. 
20	paragraph	Normal	JUSTIFY (3)	2. Người sử dụng lao động.
21	paragraph	Normal	JUSTIFY (3)	3. Người lao động nước ngoài làm việc tại Việt Nam.
22	paragraph	Normal	JUSTIFY (3)	4. Cơ quan, tổ chức, cá nhân khác có liên quan trực tiếp đến quan hệ lao động.
23	paragraph	Normal	JUSTIFY (3)	Điều 3. Giải thích từ ngữ
24	paragraph	Normal	JUSTIFY (3)	Trong Bộ luật này, các từ ngữ dưới đây được hiểu như sau:
25	paragraph	Normal	JUSTIFY (3)	1. Người lao động là người làm việc cho người sử dụng lao động theo thỏa thuận, được trả lương và chịu sự quản lý, điều hành, giám sát của người sử dụng lao động. 
26	paragraph	Normal	JUSTIFY (3)	Độ tuổi lao động tối thiểu của người lao động là đủ 15 tuổi, trừ trường hợp quy định tại Mục 1 Chương XI của Bộ luật này.
27	paragraph	Normal	JUSTIFY (3)	2. Người sử dụng lao động là doanh nghiệp, cơ quan, tổ chức, hợp tác xã, hộ gia đình, cá nhân có thuê mướn, sử dụng người lao động làm việc cho mình theo thỏa thuận; trường hợp người sử dụng lao động là cá nhân thì phải có năng lực hành vi dân sự đầy đủ.
28	paragraph	Normal	JUSTIFY (3)	3. Tổ chức đại diện người lao động tại cơ sở là tổ chức được thành lập trên cơ sở tự nguyện của người lao động tại một đơn vị sử dụng lao động nhằm mục đích bảo vệ quyền và lợi ích hợp pháp, chính đáng của người lao động trong quan hệ lao động thông qua thương lượng tập thể hoặc các hình thức khác theo quy định của pháp luật về lao động. Tổ chức đại diện người lao động tại cơ sở bao gồm công đoàn cơ sở và tổ chức của người lao động tại doanh nghiệp.
29	paragraph	Normal	JUSTIFY (3)	4. Tổ chức đại diện người sử dụng lao động là tổ chức được thành lập hợp pháp, đại diện và bảo vệ quyền, lợi ích hợp pháp của người sử dụng lao động trong quan hệ lao động.
30	paragraph	Normal	JUSTIFY (3)	5. Quan hệ lao động là quan hệ xã hội phát sinh trong việc thuê mướn, sử dụng lao động, trả lương giữa người lao động, người sử dụng lao động, các tổ chức đại diện của các bên, cơ quan nhà nước có thẩm quyền. Quan hệ lao động bao gồm quan hệ lao động cá nhân và quan hệ lao động tập thể.
31	paragraph	Normal	JUSTIFY (3)	6. Người làm việc không có quan hệ lao động là người làm việc không trên cơ sở thuê mướn bằng hợp đồng lao động.
32	paragraph	Normal	JUSTIFY (3)	7. Cưỡng bức lao động là việc dùng vũ lực, đe dọa dùng vũ lực hoặc các thủ đoạn khác để ép buộc người lao động phải làm việc trái ý muốn của họ.
33	paragraph	Normal	JUSTIFY (3)	8. Phân biệt đối xử trong lao động là hành vi phân biệt, loại trừ hoặc ưu tiên dựa trên chủng tộc, màu da, nguồn gốc quốc gia hoặc nguồn gốc xã hội, dân tộc, giới tính, độ tuổi, tình trạng thai sản, tình trạng hôn nhân, tôn giáo, tín ngưỡng, chính kiến, khuyết tật, trách nhiệm gia đình hoặc trên cơ sở tình trạng nhiễm HIV hoặc vì lý do thành lập, gia nhập và hoạt động công đoàn, tổ chức của người lao động tại doanh nghiệp có tác động làm ảnh hưởng đến bình đẳng về cơ hội việc làm hoặc nghề nghiệp. 
34	paragraph	Normal	JUSTIFY (3)	Việc phân biệt, loại trừ hoặc ưu tiên xuất phát từ yêu cầu đặc thù của công việc và các hành vi duy trì, bảo vệ việc làm cho người lao động dễ bị tổn thương thì không bị xem là phân biệt đối xử. 
35	paragraph	Normal	JUSTIFY (3)	9. Quấy rối tình dục tại nơi làm việc là hành vi có tính chất tình dục của bất kỳ người nào đối với người khác tại nơi làm việc mà không được người đó mong muốn hoặc chấp nhận. Nơi làm việc là bất kỳ nơi nào mà người lao động thực tế làm việc theo thỏa thuận hoặc phân công của người sử dụng lao động. 
36	paragraph	Normal	JUSTIFY (3)	Điều 4. Chính sách của Nhà nước về lao động
37	paragraph	Normal	JUSTIFY (3)	1. Bảo đảm quyền và lợi ích hợp pháp, chính đáng của người lao động, người làm việc không có quan hệ lao động; khuyến khích những thỏa thuận bảo đảm cho người lao động có điều kiện thuận lợi hơn so với quy định của pháp luật về lao động.  
38	paragraph	Normal	JUSTIFY (3)	2. Bảo đảm quyền và lợi ích hợp pháp của người sử dụng lao động, quản lý lao động đúng pháp luật, dân chủ, công bằng, văn minh và nâng cao trách nhiệm xã hội.
39	paragraph	Normal	JUSTIFY (3)	3. Tạo điều kiện thuận lợi đối với hoạt động tạo việc làm, tự tạo việc làm, dạy nghề và học nghề để có việc làm; hoạt động sản xuất, kinh doanh thu hút nhiều lao động; áp dụng một số quy định của Bộ luật này đối với người làm việc không có quan hệ lao động. 
40	paragraph	Normal	JUSTIFY (3)	4. Có chính sách phát triển, phân bố nguồn nhân lực; nâng cao năng suất lao động; đào tạo, bồi dưỡng và nâng cao trình độ, kỹ năng nghề cho người lao động; hỗ trợ duy trì, chuyển đổi nghề nghiệp, việc làm cho người lao động; ưu đãi đối với người lao động có trình độ chuyên môn, kỹ thuật cao đáp ứng yêu cầu của cách mạng công nghiệp, sự nghiệp công nghiệp hóa, hiện đại hóa đất nước. 
41	paragraph	Normal	JUSTIFY (3)	5. Có chính sách phát triển thị trường lao động, đa dạng các hình thức kết nối cung, cầu lao động.
42	paragraph	Normal	JUSTIFY (3)	6. Thúc đẩy người lao động và người sử dụng lao động đối thoại, thương lượng tập thể, xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định.
43	paragraph	Normal	JUSTIFY (3)	7. Bảo đảm bình đẳng giới; quy định chế độ lao động và chính sách xã hội nhằm bảo vệ lao động nữ, lao động là người khuyết tật, người lao động cao tuổi, lao động chưa thành niên.
44	paragraph	Normal	JUSTIFY (3)	Điều 5. Quyền và nghĩa vụ của người lao động
45	paragraph	Normal	JUSTIFY (3)	1. Người lao động có các quyền sau đây:
46	paragraph	Normal	JUSTIFY (3)	a) Làm việc; tự do lựa chọn việc làm, nơi làm việc, nghề nghiệp, học nghề, nâng cao trình độ nghề nghiệp; không bị phân biệt đối xử, cưỡng bức lao động, quấy rối tình dục tại nơi làm việc;
47	paragraph	Normal	JUSTIFY (3)	b) Hưởng lương phù hợp với trình độ, kỹ năng nghề trên cơ sở thỏa thuận với người sử dụng lao động; được bảo hộ lao động, làm việc trong điều kiện bảo đảm về an toàn, vệ sinh lao động; nghỉ theo chế độ, nghỉ hằng năm có hưởng lương và được hưởng phúc lợi tập thể;
48	paragraph	Normal	JUSTIFY (3)	c) Thành lập, gia nhập, hoạt động trong tổ chức đại diện người lao động, tổ chức nghề nghiệp và tổ chức khác theo quy định của pháp luật; yêu cầu và tham gia đối thoại, thực hiện quy chế dân chủ, thương lượng tập thể với người sử dụng lao động và được tham vấn tại nơi làm việc để bảo vệ quyền và lợi ích hợp pháp, chính đáng của mình; tham gia quản lý theo nội quy của người sử dụng lao động;
49	paragraph	Normal	JUSTIFY (3)	d) Từ chối làm việc nếu có nguy cơ rõ ràng đe dọa trực tiếp đến tính mạng, sức khỏe trong quá trình thực hiện công việc;
50	paragraph	Normal	JUSTIFY (3)	đ) Đơn phương chấm dứt hợp đồng lao động;
51	paragraph	Normal	JUSTIFY (3)	e) Đình công;
52	paragraph	Normal	JUSTIFY (3)	g) Các quyền khác theo quy định của pháp luật.
53	paragraph	Normal	JUSTIFY (3)	2. Người lao động có các nghĩa vụ sau đây:
54	paragraph	Normal	JUSTIFY (3)	a) Thực hiện hợp đồng lao động, thỏa ước lao động tập thể và thỏa thuận hợp pháp khác; 
55	paragraph	Normal	JUSTIFY (3)	b) Chấp hành kỷ luật lao động, nội quy lao động; tuân theo sự quản lý, điều hành, giám sát của người sử dụng lao động;
56	paragraph	Normal	JUSTIFY (3)	c) Thực hiện quy định của pháp luật về lao động, việc làm, giáo dục nghề nghiệp, bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp và an toàn, vệ sinh lao động.
57	paragraph	Normal	JUSTIFY (3)	Điều 6. Quyền và nghĩa vụ của người sử dụng lao động
58	paragraph	Normal	JUSTIFY (3)	1. Người sử dụng lao động có các quyền sau đây:
59	paragraph	Normal	JUSTIFY (3)	a) Tuyển dụng, bố trí, quản lý, điều hành, giám sát lao động; khen thưởng và xử lý vi phạm kỷ luật lao động;
60	paragraph	Normal	JUSTIFY (3)	b) Thành lập, gia nhập, hoạt động trong tổ chức đại diện người sử dụng lao động, tổ chức nghề nghiệp và tổ chức khác theo quy định của pháp luật;
61	paragraph	Normal	JUSTIFY (3)	c) Yêu cầu tổ chức đại diện người lao động thương lượng với mục đích ký kết thỏa ước lao động tập thể; tham gia giải quyết tranh chấp lao động, đình công; đối thoại, trao đổi với tổ chức đại diện người lao động về các vấn đề trong quan hệ lao động, cải thiện đời sống vật chất và tinh thần của người lao động;
62	paragraph	Normal	JUSTIFY (3)	d) Đóng cửa tạm thời nơi làm việc;
63	paragraph	Normal	JUSTIFY (3)	đ) Các quyền khác theo quy định của pháp luật.
64	paragraph	Normal	JUSTIFY (3)	2. Người sử dụng lao động có các nghĩa vụ sau đây: 
65	paragraph	Normal	JUSTIFY (3)	a) Thực hiện hợp đồng lao động, thỏa ước lao động tập thể và thỏa thuận hợp pháp khác; tôn trọng danh dự, nhân phẩm của người lao động;
66	paragraph	Normal	JUSTIFY (3)	b) Thiết lập cơ chế và thực hiện đối thoại, trao đổi với người lao động và tổ chức đại diện người lao động; thực hiện quy chế dân chủ ở cơ sở tại nơi làm việc; 
67	paragraph	Normal	JUSTIFY (3)	c) Đào tạo, đào tạo lại, bồi dưỡng nâng cao trình độ, kỹ năng nghề nhằm duy trì, chuyển đổi nghề nghiệp, việc làm cho người lao động; 
68	paragraph	Normal	JUSTIFY (3)	d) Thực hiện quy định của pháp luật về lao động, việc làm, giáo dục nghề nghiệp, bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp và an toàn, vệ sinh lao động; xây dựng và thực hiện các giải pháp phòng, chống quấy rối tình dục tại nơi làm việc;
69	paragraph	Normal	JUSTIFY (3)	đ) Tham gia phát triển tiêu chuẩn kỹ năng nghề quốc gia, đánh giá, công nhận kỹ năng nghề cho người lao động. 
70	paragraph	Normal	JUSTIFY (3)	Điều 7. Xây dựng quan hệ lao động
71	paragraph	Normal	JUSTIFY (3)	1. Quan hệ lao động được xác lập qua đối thoại, thương lượng, thỏa thuận theo nguyên tắc tự nguyện, thiện chí, bình đẳng, hợp tác, tôn trọng quyền và lợi ích hợp pháp của nhau.
72	paragraph	Normal	JUSTIFY (3)	2. Người sử dụng lao động, tổ chức đại diện người sử dụng lao động và người lao động, tổ chức đại diện người lao động xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định với sự hỗ trợ của cơ quan nhà nước có thẩm quyền.
73	paragraph	Normal	JUSTIFY (3)	3. Công đoàn tham gia cùng với cơ quan nhà nước có thẩm quyền hỗ trợ xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định; giám sát việc thi hành quy định của pháp luật về lao động; bảo vệ quyền và lợi ích hợp pháp, chính đáng của người lao động. 
74	paragraph	Normal	JUSTIFY (3)	4. Phòng Thương mại và Công nghiệp Việt Nam, Liên minh Hợp tác xã Việt Nam và các tổ chức đại diện của người sử dụng lao động khác được thành lập theo quy định của pháp luật có vai trò đại diện, bảo vệ quyền và lợi ích hợp pháp của người sử dụng lao động, tham gia xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định.
75	paragraph	Normal	JUSTIFY (3)	Điều 8. Các hành vi bị nghiêm cấm trong lĩnh vực lao động
76	paragraph	Normal	JUSTIFY (3)	1. Phân biệt đối xử trong lao động.
77	paragraph	Normal	JUSTIFY (3)	2. Ngược đãi người lao động, cưỡng bức lao động.
78	paragraph	Normal	JUSTIFY (3)	3. Quấy rối tình dục tại nơi làm việc.
79	paragraph	Normal	JUSTIFY (3)	4. Lợi dụng danh nghĩa dạy nghề, tập nghề để trục lợi, bóc lột sức lao động hoặc lôi kéo, dụ dỗ, ép buộc người học nghề, người tập nghề vào hoạt động trái pháp luật.
80	paragraph	Normal	JUSTIFY (3)	5. Sử dụng lao động chưa qua đào tạo hoặc chưa có chứng chỉ kỹ năng nghề quốc gia đối với nghề, công việc phải sử dụng lao động đã được đào tạo hoặc phải có chứng chỉ kỹ năng nghề quốc gia.
81	paragraph	Normal	JUSTIFY (3)	6. Lôi kéo, dụ dỗ, hứa hẹn, quảng cáo gian dối hoặc thủ đoạn khác để lừa gạt người lao động hoặc để tuyển dụng người lao động với mục đích mua bán người, bóc lột, cưỡng bức lao động hoặc lợi dụng dịch vụ việc làm, hoạt động đưa người lao động đi làm việc ở nước ngoài theo hợp đồng để thực hiện hành vi trái pháp luật.
82	paragraph	Normal	JUSTIFY (3)	7. Sử dụng lao động chưa thành niên trái pháp luật.
83	paragraph	Normal	JUSTIFY (3)	
84	paragraph	Normal	CENTER (1)	Chương II
85	paragraph	Normal	CENTER (1)	VIỆC LÀM, TUYỂN DỤNG VÀ QUẢN LÝ LAO ĐỘNG
86	paragraph	Normal	JUSTIFY (3)	Điều 9. Việc làm, giải quyết việc làm
87	paragraph	Normal	JUSTIFY (3)	1. Việc làm là hoạt động lao động tạo ra thu nhập mà pháp luật không cấm.
88	paragraph	Normal	JUSTIFY (3)	2. Nhà nước, người sử dụng lao động và xã hội có trách nhiệm tham gia giải quyết việc làm, bảo đảm cho mọi người có khả năng lao động đều có cơ hội có việc làm.
89	paragraph	Normal	JUSTIFY (3)	Điều 10. Quyền làm việc của người lao động
90	paragraph	Normal	JUSTIFY (3)	1. Được tự do lựa chọn việc làm, làm việc cho bất kỳ người sử dụng lao động nào và ở bất kỳ nơi nào mà pháp luật không cấm.
91	paragraph	Normal	JUSTIFY (3)	2. Trực tiếp liên hệ với người sử dụng lao động hoặc thông qua tổ chức dịch vụ việc làm để tìm kiếm việc làm theo nguyện vọng, khả năng, trình độ nghề nghiệp và sức khỏe của mình.
92	paragraph	Normal	JUSTIFY (3)	Điều 11. Tuyển dụng lao động
93	paragraph	Normal	JUSTIFY (3)	1. Người sử dụng lao động có quyền trực tiếp hoặc thông qua tổ chức dịch vụ việc làm, doanh nghiệp hoạt động cho thuê lại lao động để tuyển dụng lao động theo nhu cầu của người sử dụng lao động.
94	paragraph	Normal	JUSTIFY (3)	2. Người lao động không phải trả chi phí cho việc tuyển dụng lao động.
95	paragraph	Normal	JUSTIFY (3)	Điều 12. Trách nhiệm quản lý lao động của người sử dụng lao động
96	paragraph	Normal	JUSTIFY (3)	1. Lập, cập nhật, quản lý, sử dụng sổ quản lý lao động bằng bản giấy hoặc bản điện tử và xuất trình khi cơ quan nhà nước có thẩm quyền yêu cầu.
97	paragraph	Normal	JUSTIFY (3)	2. Khai trình việc sử dụng lao động trong thời hạn 30 ngày kể từ ngày bắt đầu hoạt động, định kỳ báo cáo tình hình thay đổi về lao động trong quá trình hoạt động với cơ quan chuyên môn về lao động thuộc Ủy ban nhân dân cấp tỉnh và thông báo cho cơ quan bảo hiểm xã hội.
98	paragraph	Normal	JUSTIFY (3)	3. Chính phủ quy định chi tiết Điều này.
99	paragraph	Normal	JUSTIFY (3)	
100	paragraph	Normal	CENTER (1)	Chương III
101	paragraph	Normal	CENTER (1)	HỢP ĐỒNG LAO ĐỘNG
102	paragraph	Normal	CENTER (1)	Mục 1
103	paragraph	Normal	CENTER (1)	GIAO KẾT HỢP ĐỒNG LAO ĐỘNG
104	paragraph	Normal	JUSTIFY (3)	Điều 13. Hợp đồng lao động
105	paragraph	Normal	JUSTIFY (3)	1. Hợp đồng lao động là sự thỏa thuận giữa người lao động và người sử dụng lao động về việc làm có trả công, tiền lương, điều kiện lao động, quyền và nghĩa vụ của mỗi bên trong quan hệ lao động.
106	paragraph	Normal	JUSTIFY (3)	Trường hợp hai bên thỏa thuận bằng tên gọi khác nhưng có nội dung thể hiện về việc làm có trả công, tiền lương và sự quản lý, điều hành, giám sát của một bên thì được coi là hợp đồng lao động.
107	paragraph	Normal	JUSTIFY (3)	2. Trước khi nhận người lao động vào làm việc thì người sử dụng lao động phải giao kết hợp đồng lao động với người lao động.
108	paragraph	Normal	JUSTIFY (3)	Điều 14. Hình thức hợp đồng lao động
109	paragraph	Normal	JUSTIFY (3)	1. Hợp đồng lao động phải được giao kết bằng văn bản và được làm thành 02 bản, người lao động giữ 01 bản, người sử dụng lao động giữ 01 bản, trừ trường hợp quy định tại khoản 2 Điều này.
110	paragraph	Normal	JUSTIFY (3)	Hợp đồng lao động được giao kết thông qua phương tiện điện tử dưới hình thức thông điệp dữ liệu theo quy định của pháp luật về giao dịch điện tử có giá trị như hợp đồng lao động bằng văn bản.
111	paragraph	Normal	JUSTIFY (3)	2. Hai bên có thể giao kết hợp đồng lao động bằng lời nói đối với hợp đồng có thời hạn dưới 01 tháng, trừ trường hợp quy định tại khoản 2 Điều 18, điểm a khoản 1 Điều 145 và khoản 1 Điều 162 của Bộ luật này.
112	paragraph	Normal	JUSTIFY (3)	Điều 15. Nguyên tắc giao kết hợp đồng lao động
113	paragraph	Normal	JUSTIFY (3)	1. Tự nguyện, bình đẳng, thiện chí, hợp tác và trung thực.
114	paragraph	Normal	JUSTIFY (3)	2. Tự do giao kết hợp đồng lao động nhưng không được trái pháp luật, thỏa ước lao động tập thể và đạo đức xã hội.
115	paragraph	Normal	JUSTIFY (3)	Điều 16. Nghĩa vụ cung cấp thông tin khi giao kết hợp đồng lao động
116	paragraph	Normal	JUSTIFY (3)	1. Người sử dụng lao động phải cung cấp thông tin trung thực cho người lao động về công việc, địa điểm làm việc, điều kiện làm việc, thời giờ làm việc, thời giờ nghỉ ngơi, an toàn, vệ sinh lao động, tiền lương, hình thức trả lương, bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp, quy định về bảo vệ bí mật kinh doanh, bảo vệ bí mật công nghệ và vấn đề khác liên quan trực tiếp đến việc giao kết hợp đồng lao động mà người lao động yêu cầu.
117	paragraph	Normal	JUSTIFY (3)	 2. Người lao động phải cung cấp thông tin trung thực cho người sử dụng lao động về họ tên, ngày tháng năm sinh, giới tính, nơi cư trú, trình độ học vấn, trình độ kỹ năng nghề, xác nhận tình trạng sức khỏe và vấn đề khác liên quan trực tiếp đến việc giao kết hợp đồng lao động mà người sử dụng lao động yêu cầu.
118	paragraph	Normal	JUSTIFY (3)	Điều 17. Hành vi người sử dụng lao động không được làm khi giao kết, thực hiện hợp đồng lao động
119	paragraph	Normal	JUSTIFY (3)	1. Giữ bản chính giấy tờ tùy thân, văn bằng, chứng chỉ của người lao động.
120	paragraph	Normal	JUSTIFY (3)	2. Yêu cầu người lao động phải thực hiện biện pháp bảo đảm bằng tiền hoặc tài sản khác cho việc thực hiện hợp đồng lao động.
121	paragraph	Normal	JUSTIFY (3)	3. Buộc người lao động thực hiện hợp đồng lao động để trả nợ cho người sử dụng lao động.
122	paragraph	Normal	JUSTIFY (3)	Điều 18. Thẩm quyền giao kết hợp đồng lao động
123	paragraph	Normal	JUSTIFY (3)	1. Người lao động trực tiếp giao kết hợp đồng lao động, trừ trường hợp quy định tại khoản 2 Điều này.
124	paragraph	Normal	JUSTIFY (3)	2. Đối với công việc theo mùa vụ, công việc nhất định có thời hạn dưới 12 tháng thì nhóm người lao động từ đủ 18 tuổi trở lên có thể ủy quyền cho một người lao động trong nhóm để giao kết hợp đồng lao động; trong trường hợp này, hợp đồng lao động phải được giao kết bằng văn bản và có hiệu lực như giao kết với từng người lao động. 
125	paragraph	Normal	JUSTIFY (3)	Hợp đồng lao động do người được ủy quyền ký kết phải kèm theo danh sách ghi rõ họ tên, ngày tháng năm sinh, giới tính, nơi cư trú và chữ ký của từng người lao động.
126	paragraph	Normal	JUSTIFY (3)	3. Người giao kết hợp đồng lao động bên phía người sử dụng lao động là người thuộc một trong các trường hợp sau đây:
127	paragraph	Normal	JUSTIFY (3)	a) Người đại diện theo pháp luật của doanh nghiệp hoặc người được ủy quyền theo quy định của pháp luật;
128	paragraph	Normal	JUSTIFY (3)	b) Người đứng đầu cơ quan, tổ chức có tư cách pháp nhân theo quy định của pháp luật hoặc người được ủy quyền theo quy định của pháp luật;
129	paragraph	Normal	JUSTIFY (3)	c) Người đại diện của hộ gia đình, tổ hợp tác, tổ chức khác không có tư cách pháp nhân hoặc người được ủy quyền theo quy định của pháp luật;
130	paragraph	Normal	JUSTIFY (3)	d) Cá nhân trực tiếp sử dụng lao động.
131	paragraph	Normal	JUSTIFY (3)	4. Người giao kết hợp đồng lao động bên phía người lao động là người thuộc một trong các trường hợp sau đây:
132	paragraph	Normal	JUSTIFY (3)	a) Người lao động từ đủ 18 tuổi trở lên;
133	paragraph	Normal	JUSTIFY (3)	b) Người lao động từ đủ 15 tuổi đến chưa đủ 18 tuổi khi có sự đồng ý bằng văn bản của người đại diện theo pháp luật của người đó;
134	paragraph	Normal	JUSTIFY (3)	c) Người chưa đủ 15 tuổi và người đại diện theo pháp luật của người đó;
135	paragraph	Normal	JUSTIFY (3)	d) Người lao động được những người lao động trong nhóm ủy quyền hợp pháp giao kết hợp đồng lao động. 
136	paragraph	Normal	JUSTIFY (3)	5. Người được ủy quyền giao kết hợp đồng lao động không được ủy quyền lại cho người khác giao kết hợp đồng lao động.
137	paragraph	Normal	JUSTIFY (3)	Điều 19. Giao kết nhiều hợp đồng lao động
138	paragraph	Normal	JUSTIFY (3)	1. Người lao động có thể giao kết nhiều hợp đồng lao động với nhiều người sử dụng lao động nhưng phải bảo đảm thực hiện đầy đủ các nội dung đã giao kết.
139	paragraph	Normal	JUSTIFY (3)	2. Người lao động đồng thời giao kết nhiều hợp đồng lao động với nhiều người sử dụng lao động thì việc tham gia bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp được thực hiện theo quy định của pháp luật về bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp và an toàn, vệ sinh lao động.
140	paragraph	Normal	JUSTIFY (3)	Điều 20. Loại hợp đồng lao động
141	paragraph	Normal	JUSTIFY (3)	1. Hợp đồng lao động phải được giao kết theo một trong các loại sau đây:
142	paragraph	Normal	JUSTIFY (3)	a) Hợp đồng lao động không xác định thời hạn là hợp đồng mà trong đó hai bên không xác định thời hạn, thời điểm chấm dứt hiệu lực của hợp đồng;
143	paragraph	Normal	JUSTIFY (3)	b) Hợp đồng lao động xác định thời hạn là hợp đồng mà trong đó hai bên xác định thời hạn, thời điểm chấm dứt hiệu lực của hợp đồng trong thời gian không quá 36 tháng kể từ thời điểm có hiệu lực của hợp đồng.
144	paragraph	Normal	JUSTIFY (3)	2. Khi hợp đồng lao động quy định tại điểm b khoản 1 Điều này hết hạn mà người lao động vẫn tiếp tục làm việc thì thực hiện như sau:
145	paragraph	Normal	JUSTIFY (3)	a) Trong thời hạn 30 ngày kể từ ngày hợp đồng lao động hết hạn, hai bên phải ký kết hợp đồng lao động mới; trong thời gian chưa ký kết hợp đồng lao động mới thì quyền, nghĩa vụ và lợi ích của hai bên được thực hiện theo hợp đồng đã giao kết; 
146	paragraph	Normal	JUSTIFY (3)	b) Nếu hết thời hạn 30 ngày kể từ ngày hợp đồng lao động hết hạn mà hai bên không ký kết hợp đồng lao động mới thì hợp đồng đã giao kết theo quy định tại điểm b khoản 1 Điều này trở thành hợp đồng lao động không xác định thời hạn;
147	paragraph	Normal	JUSTIFY (3)	c) Trường hợp hai bên ký kết hợp đồng lao động mới là hợp đồng lao động xác định thời hạn thì cũng chỉ được ký thêm 01 lần, sau đó nếu người lao động vẫn tiếp tục làm việc thì phải ký kết hợp đồng lao động không xác định thời hạn, trừ hợp đồng lao động đối với người được thuê làm giám đốc trong doanh nghiệp có vốn nhà nước và trường hợp quy định tại khoản 1 Điều 149, khoản 2 Điều 151 và khoản 4 Điều 177 của Bộ luật này.
148	paragraph	Normal	JUSTIFY (3)	Điều 21. Nội dung hợp đồng lao động
149	paragraph	Normal	JUSTIFY (3)	1. Hợp đồng lao động phải có những nội dung chủ yếu sau đây:
150	paragraph	Normal	JUSTIFY (3)	a) Tên, địa chỉ của người sử dụng lao động và họ tên, chức danh của người giao kết hợp đồng lao động bên phía người sử dụng lao động;
151	paragraph	Normal	JUSTIFY (3)	b) Họ tên, ngày tháng năm sinh, giới tính, nơi cư trú, số thẻ Căn cước công dân, Chứng minh nhân dân hoặc hộ chiếu của người giao kết hợp đồng lao động bên phía người lao động;
152	paragraph	Normal	JUSTIFY (3)	c) Công việc và địa điểm làm việc;
153	paragraph	Normal	JUSTIFY (3)	d) Thời hạn của hợp đồng lao động;
154	paragraph	Normal	JUSTIFY (3)	đ) Mức lương theo công việc hoặc chức danh, hình thức trả lương, thời hạn trả lương, phụ cấp lương và các khoản bổ sung khác;
155	paragraph	Normal	JUSTIFY (3)	e) Chế độ nâng bậc, nâng lương;
156	paragraph	Normal	JUSTIFY (3)	g) Thời giờ làm việc, thời giờ nghỉ ngơi;
157	paragraph	Normal	JUSTIFY (3)	h) Trang bị bảo hộ lao động cho người lao động;
158	paragraph	Normal	JUSTIFY (3)	i) Bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thất nghiệp;
159	paragraph	Normal	JUSTIFY (3)	k) Đào tạo, bồi dưỡng, nâng cao trình độ, kỹ năng nghề.
